path	path_type	reason
_large_files/archive/pc/mod/0_Hyst_NPCs_Enhancement.archive.part001	large_file_part	body framework conflict (non-f80h)
_large_files/archive/pc/mod/0_Hyst_NPCs_Enhancement.archive.part002	large_file_part	body framework conflict (non-f80h)
_large_files/archive/pc/mod/00_Skin_TEX.archive.part001	large_file_part	skin/material replacement conflict
_large_files/archive/pc/mod/00_Skin_TEX.archive.part002	large_file_part	skin/material replacement conflict
_large_files/archive/pc/mod/00_Skin_TEX.archive.part003	large_file_part	skin/material replacement conflict
_large_files/archive/pc/mod/00_Skin_TEX.archive.part004	large_file_part	skin/material replacement conflict
_large_files/archive/pc/mod/00_Skin_TEX.archive.part005	large_file_part	skin/material replacement conflict
_large_files/archive/pc/mod/05_Hyst_Refit_ForcedBigBooba.archive.part001	large_file_part	body framework conflict (non-f80h)
_large_files/archive/pc/mod/05_Hyst_Refit_ForcedBigBooba.archive.part002	large_file_part	body framework conflict (non-f80h)
_large_files/archive/pc/mod/05_Hyst_Refit_ForcedBigBooty.archive.part001	large_file_part	body framework conflict (non-f80h)
_large_files/archive/pc/mod/05_Hyst_Refit_ForcedBigBooty.archive.part002	large_file_part	body framework conflict (non-f80h)
archive/pc/mod/0_Aurore_physics_clothed.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Aurore_physics_naked.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Aurore_pubic.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Aurore_size.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_CheriNowlin_physics.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_CheriNowlin_physics_nude.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_CheriNowlin_size.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Clair_physics_naked.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Claire_default_futanude.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Claire_size.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_doresette_physics_naked.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Evelyn_physics_nude.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_floordancer_size.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Hanako_physics_clothed.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Hanako_physics_naked.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Hanako_size.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Hyst_NPCs_Enhancement.archive	mod_file	body framework conflict (non-f80h)
archive/pc/mod/0_Judy_jiggle.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Judy_jiggle_naked.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Judy_pubic.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Judy_size.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_LizzyWizzy_physics_clothed.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_LizzyWizzy_physics_naked.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Maiko_physics_clothed.archive	mod_file	body shape/physics/nude option conflict
archive/pc/mod/0_Maiko_physics_naked.archive	mod_file	body shape/physics/nude option conflict
